iter	Passed	Remaining
0	1	115
1	2	101
2	2	93
3	3	87
4	4	86
5	5	85
6	6	83
7	7	81
8	8	86
9	9	88
10	10	86
11	11	86
12	12	86
13	13	85
14	14	84
15	15	83
16	16	82
17	17	81
18	19	81
19	20	80
20	21	79
21	22	79
22	23	79
23	24	78
24	25	77
25	26	75
26	27	74
27	28	72
28	28	70
29	29	69
30	30	67
31	31	66
32	32	65
33	32	63
34	33	62
35	34	61
36	35	59
37	36	59
38	37	58
39	38	57
40	39	56
41	39	55
42	40	53
43	41	52
44	42	51
45	43	50
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	48	43
53	49	42
54	50	41
55	51	40
56	52	39
57	53	39
58	54	38
59	55	37
60	56	36
61	57	35
62	59	34
63	60	33
64	61	32
65	62	32
66	63	31
67	64	30
68	65	29
69	66	28
70	68	27
71	69	26
72	70	25
73	71	25
74	72	24
75	73	23
76	74	22
77	75	21
78	76	20
79	77	19
80	78	18
81	80	17
82	82	16
83	83	15
84	84	14
85	85	13
86	87	13
87	88	12
88	89	11
89	91	10
90	93	9
91	95	8
92	96	7
93	97	6
94	98	5
95	99	4
96	100	3
97	102	2
98	103	1
99	105	0
